AMount,Total,SRNO,Date,AveragePrice,BuyORSell,OrHold,Price,TQQQInvest,TOtQty,TQQQInvested,TQQQValues,PL,Adj Close,QQQInvest,QTRY,QQQInvested,QQQValues,PL,Invested,Price,,,,SOXL,10,,,,,
0,"18,000.00",247,1/29/2018,12.06,S,S,12.04,0.00,0.00,0.00,0.00,0.00%,19.94,"45,661.08","2,289.92","45,661.08","45,661.08",0.00%,"18,000.00","45,661.08",153.67%,45.66107802,,,,,,,,
0,"18,000.00",248,1/30/2018,12.11,S,H,11.3,0.00,0.00,0.00,0.00,0.00%,19.57,0,"2,289.92","45,661.08","44,813.81",-1.86%,"18,000.00","44,813.81",148.97%,0,,,,,,,,
0,"18,000.00",249,1/31/2018,12.12,S,H,11.59,0.00,0.00,0.00,0.00,0.00%,19.95,0,"2,289.92","45,661.08","45,683.98",0.05%,"18,000.00","45,683.98",153.80%,0,,,,,,,,
0,"18,000.00",250,2/1/2018,12.10,S,H,11.42,0.00,0.00,0.00,0.00,0.00%,19.04,0,"2,289.92","45,661.08","43,600.15",-4.51%,"18,000.00","43,600.15",142.22%,0,,,,,,,,
0,"18,000.00",251,2/2/2018,12.01,S,H,10.47,0.00,0.00,0.00,0.00,0.00%,18.51,0,"2,289.92","45,661.08","42,386.49",-7.17%,"18,000.00","42,386.49",135.48%,0,,,,,,,,
0,"18,000.00",252,2/5/2018,11.86,S,H,9.07,0.00,0.00,0.00,0.00,0.00%,19.06,0,"2,289.92","45,661.08","43,645.95",-4.41%,"18,000.00","43,645.95",142.48%,0,,,,,,,,
0,"18,000.00",253,2/6/2018,11.61,S,H,10,0.00,0.00,0.00,0.00,0.00%,18.68,0,"2,289.92","45,661.08","42,775.77",-6.32%,"18,000.00","42,775.77",137.64%,0,,,,,,,,
0,"18,000.00",254,2/7/2018,11.39,S,H,9.33,0.00,0.00,0.00,0.00,0.00%,18.14,0,"2,289.92","45,661.08","41,539.22",-9.03%,"18,000.00","41,539.22",130.77%,0,,,,,,,,
1000,"19,000.00",255,2/8/2018,11.13,S,H,8.15,500.00,61.35,500.00,500.00,0.00%,18.10,500,"2,317.55","46,161.08","41,947.62",-9.13%,"19,000.00","42,447.62",123.41%,1,,,,,,,,
0,"19,000.00",256,2/9/2018,10.83,S,H,8.9,0.00,61.35,500.00,546.01,9.20%,17.72,0,"2,317.55","46,161.08","41,066.95",-11.04%,"19,000.00","41,612.96",119.02%,0,,,,,,,,
